Case,Q_cms,Stage_m
VanillaC4,1,1001.7186390598497
VanillaC4,2,1001.801684514662
VanillaC4,3,1001.8645335104046
VanillaC4,4,1001.9168341170508
VanillaC4,5,1001.9622836225493
VanillaC4,6,1002.003367677896
VanillaC4,7,1002.0405984936273
VanillaC4,8,1002.0751828675524
VanillaC4,9,1002.1076522899033
VanillaC4,10,1002.1378947558136
VanillaC4,12,1002.1943731990108
VanillaC4,15,1002.269992628027
VanillaC4,20,1002.3798190357883
VanillaC4,30,1002.561881670804
VanillaC4,40,1002.7132359806494
VanillaC4,50,1002.8453552508697
VanillaC4,60,1002.9665170591136
VanillaC4,70,1003.0923939375572
VanillaC4,80,1003.2073839126747
VanillaC4,90,1003.3106270198954
VanillaC4,100,1003.4046510876746
InphaseC4,1,1002.4189940935672
InphaseC4,2,1002.4906893634692
InphaseC4,3,1002.5442502467456
InphaseC4,4,1002.5892109723694
InphaseC4,5,1002.6279912497256
InphaseC4,6,1002.6627014195759
InphaseC4,7,1002.6946997807023
InphaseC4,8,1002.7243971542515
InphaseC4,9,1002.7520734297556
InphaseC4,10,1002.778233999628
InphaseC4,12,1002.8261955864183
InphaseC4,15,1002.8909530420053
InphaseC4,20,1002.9849627794257
InphaseC4,30,1003.1405316365796
InphaseC4,40,1003.2696872823708
InphaseC4,50,1003.3826221835362
InphaseC4,60,1003.4839476453869
InphaseC4,70,1003.5763237353059
InphaseC4,80,1003.6622412242333
InphaseC4,90,1003.7459917302252
InphaseC4,100,1003.8282421266196
OutphaseC4,1,1000.9810089575046
OutphaseC4,2,1001.0646284819583
OutphaseC4,3,1001.1272220972653
OutphaseC4,4,1001.1799494814627
OutphaseC4,5,1001.2256986856382
OutphaseC4,6,1001.2665798445353
OutphaseC4,7,1001.3036655419307
OutphaseC4,8,1001.3382144492044
OutphaseC4,9,1001.3706618739766
OutphaseC4,10,1001.4011981070176
OutphaseC4,12,1001.4580402666513
OutphaseC4,15,1001.5338175508618
OutphaseC4,20,1001.6432446869003
OutphaseC4,30,1001.8258799330534
OutphaseC4,40,1001.9772263334315
OutphaseC4,50,1002.1097237465939
OutphaseC4,60,1002.2284139732524
OutphaseC4,70,1002.3366708198532
OutphaseC4,80,1002.437081983334
OutphaseC4,90,1002.5311697581618
OutphaseC4,100,1002.6201486181528
